"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Trammell, Taylor","666211","HOU","117","CF","27","L","0.00","0.52","0.81","1.06","1.29","1.50","1.71","1.90","2.09","2.27","2.45","2.63","2.80","2.97","3.14","3.31","3.48","3.66","3.84"
"Trejo, Alan","676701","COL","115","SS","29","R","0.00","0.60","0.93","1.21","1.47","1.70","1.92","2.14","2.35","2.55","2.75","2.94","3.13","3.32","3.51","3.70","3.90","4.10","4.32"
"Trevino, Jose","624431","CIN","113","C","32","R","0.00","0.56","0.90","1.17","1.43","1.67","1.89","2.11","2.33","2.54","2.74","2.95","3.15","3.35","3.55","3.76","3.96","4.18","4.41"
"Triolo, Jared","669707","PIT","134","SS","27","R","0.00","0.55","0.87","1.13","1.36","1.58","1.79","1.99","2.18","2.37","2.55","2.73","2.91","3.08","3.26","3.43","3.60","3.77","3.95"
"Trout, Mike","545361","LAA","108","DH","33","R","0.00","0.52","0.83","1.08","1.32","1.53","1.74","1.93","2.12","2.31","2.49","2.67","2.84","3.02","3.19","3.36","3.53","3.71","3.90"
"Tucker, Kyle","663656","CHC","112","RF","28","L","0.00","0.54","0.85","1.12","1.35","1.58","1.79","1.99","2.19","2.38","2.57","2.75","2.94","3.12","3.30","3.48","3.68","3.88","4.10"
"Turang, Brice","668930","MIL","158","2B","25","L","0.00","0.53","0.83","1.08","1.31","1.52","1.72","1.91","2.10","2.28","2.45","2.63","2.80","2.97","3.14","3.30","3.47","3.64","3.83"
"Turner, Justin","457759","CHC","112","1B","40","R","0.00","0.55","0.88","1.17","1.42","1.66","1.88","2.10","2.30","2.51","2.71","2.90","3.10","3.29","3.48","3.67","3.87","4.06","4.27"
"Turner, Trea","607208","PHI","143","SS","32","R","0.00","0.57","0.89","1.15","1.38","1.59","1.78","1.97","2.15","2.33","2.50","2.67","2.83","3.00","3.16","3.32","3.48","3.64","3.80"
"Urshela, Gio","570482","ATH","133","3B","33","R","0.00","0.57","0.91","1.19","1.45","1.68","1.91","2.13","2.34","2.55","2.76","2.96","3.16","3.37","3.57","3.77","3.98","4.20","4.44"
"Urías, Luis","649966","ATH","133","2B","28","R","0.00","0.56","0.88","1.16","1.40","1.63","1.85","2.06","2.26","2.46","2.66","2.85","3.04","3.23","3.42","3.61","3.80","3.99","4.20"
"Urías, Ramón","602104","HOU","117","3B","31","R","0.00","0.56","0.88","1.15","1.39","1.62","1.83","2.04","2.24","2.44","2.63","2.82","3.00","3.19","3.37","3.55","3.73","3.91","4.11"
"Valdez, Enmanuel","665839","PIT","134","1B","26","L","0.00","0.57","0.88","1.15","1.40","1.63","1.85","2.06","2.26","2.46","2.65","2.85","3.04","3.22","3.41","3.60","3.80","4.01","4.23"
"Vargas, Ildemaro","545121","AZ","109","2B","33","L","0.00","0.54","0.84","1.11","1.35","1.57","1.78","1.98","2.18","2.37","2.55","2.74","2.92","3.10","3.27","3.45","3.63","3.81","4.01"
"Vargas, Ildemaro","545121","AZ","109","2B","33","R","0.00","0.56","0.88","1.15","1.40","1.62","1.84","2.04","2.24","2.43","2.62","2.81","2.99","3.17","3.35","3.53","3.71","3.89","4.07"
"Vargas, Miguel","678246","CWS","145","3B","25","R","0.00","0.56","0.89","1.17","1.41","1.64","1.85","2.06","2.25","2.45","2.63","2.81","2.99","3.17","3.35","3.52","3.70","3.88","4.06"
"Varsho, Daulton","662139","TOR","141","CF","28","L","0.00","0.55","0.85","1.10","1.34","1.55","1.75","1.95","2.14","2.32","2.50","2.68","2.85","3.03","3.20","3.37","3.54","3.71","3.91"
"Vaughn, Andrew","683734","MIL","158","1B","27","R","0.00","0.56","0.89","1.17","1.42","1.65","1.87","2.09","2.29","2.50","2.69","2.89","3.08","3.27","3.46","3.65","3.84","4.04","4.24"
"Verdugo, Alex","657077","ATL","144","LF","29","L","0.00","0.53","0.85","1.11","1.35","1.58","1.79","2.00","2.20","2.39","2.58","2.77","2.95","3.14","3.32","3.50","3.69","3.88","4.08"
"Vientos, Mark","668901","NYM","121","3B","25","R","0.00","0.58","0.91","1.19","1.45","1.68","1.90","2.11","2.32","2.52","2.72","2.91","3.10","3.29","3.48","3.67","3.86","4.05","4.25"
"Vierling, Matt","663837","DET","116","CF","28","R","0.00","0.58","0.91","1.18","1.41","1.63","1.84","2.04","2.24","2.42","2.60","2.78","2.96","3.13","3.30","3.47","3.65","3.81","3.99"
